"dim_1" "dim_2" "dim_3"
"sample_80" 9 4 13
"sample_81" 5 16 6
"sample_82" 7 5 9
"sample_83" 2 11 25
"sample_84" 8 7 14
"sample_85" 3 10 26
"sample_86" 2 9 24
"sample_87" 2 16 25
"sample_88" 4 18 3
"sample_89" 9 5 13
"sample_90" 9 3 17
"sample_91" 7 16 8
"sample_92" 7 7 12
"sample_93" 7 5 14
"sample_94" 7 3 14
"sample_95" 3 13 20
"sample_96" 9 7 20
"sample_97" 4 18 3
"sample_98" 6 17 4
"sample_99" 6 5 16
"sample_100" 3 16 7
"sample_101" 2 12 26
"sample_102" 3 10 24
"sample_103" 0 7 27
"sample_104" 8 4 15
"sample_105" 4 17 9
"sample_106" 8 5 11
"sample_107" 7 18 1
"sample_108" 8 4 13
"sample_109" 7 18 3
"sample_110" 2 10 26
"sample_111" 3 10 22
"sample_112" 7 6 15
"sample_113" 8 2 10
"sample_114" 6 16 8
"sample_115" 9 5 14
"sample_116" 3 18 9
"sample_117" 2 9 21
"sample_118" 7 3 13
"sample_119" 5 14 4
"sample_120" 9 5 16
"sample_121" 7 15 7
"sample_122" 10 3 17
"sample_123" 6 3 17
"sample_124" 4 16 8
"sample_125" 2 7 25
"sample_126" 6 11 5
"sample_127" 4 16 5
"sample_128" 7 2 15
"sample_129" 8 3 14
"sample_130" 9 9 14
"sample_131" 8 3 16
"sample_132" 2 10 26
"sample_133" 4 15 3
"sample_134" 5 15 3
"sample_135" 6 4 15
"sample_136" 6 16 4
"sample_137" 7 5 10
"sample_138" 2 9 18
"sample_139" 7 13 5
"sample_140" 9 3 11
"sample_141" 6 4 18
"sample_142" 6 18 7
"sample_143" 8 7 14
"sample_144" 5 16 6
"sample_145" 7 18 5
"sample_146" 6 4 17
"sample_147" 8 1 15
"sample_148" 3 19 10
"sample_149" 3 13 23
"sample_150" 10 3 12
"sample_151" 4 19 9
"sample_152" 9 3 15
"sample_153" 9 7 9
"sample_154" 10 5 14
"sample_155" 8 3 15
"sample_156" 9 3 13
"sample_157" 5 3 8
"sample_158" 4 11 21
"sample_159" 2 18 4
"sample_160" 9 16 8
"sample_161" 6 14 6
"sample_162" 7 7 16
"sample_163" 8 3 16
"sample_164" 8 6 17
"sample_165" 0 14 9
"sample_166" 9 4 11
"sample_167" 0 13 27
"sample_168" 2 13 26
"sample_169" 6 17 5
"sample_170" 4 17 8
"sample_171" 5 17 6
"sample_172" 10 4 21
"sample_173" 7 1 12
"sample_174" 8 3 10
"sample_175" 9 3 15
"sample_176" 4 17 4
"sample_177" 3 12 25
"sample_178" 3 12 29
"sample_179" 0 14 24
"sample_180" 8 0 15
"sample_181" 8 2 13
"sample_182" 5 13 6
"sample_183" 4 16 4
"sample_184" 6 3 14
"sample_185" 7 5 16
"sample_186" 9 4 14
"sample_187" 9 3 18
"sample_188" 8 5 12
"sample_189" 8 7 16
"sample_190" 3 12 21
"sample_191" 7 4 10
"sample_192" 7 3 15
"sample_193" 3 14 24
"sample_194" 5 15 4
"sample_195" 4 18 3
"sample_196" 8 5 17
"sample_197" 5 16 5
"sample_198" 9 2 12
"sample_199" 5 14 5
"sample_200" 7 2 22
"sample_201" 4 11 22
"sample_202" 8 5 20
"sample_203" 7 14 7
"sample_204" 9 4 13
"sample_205" 4 17 3
"sample_206" 7 18 6
"sample_207" 2 7 23
"sample_208" 3 13 26
"sample_209" 9 6 16
"sample_210" 4 16 8
"sample_211" 4 12 22
"sample_212" 7 6 17
"sample_213" 9 5 22
"sample_214" 0 10 24
"sample_215" 7 4 15
"sample_216" 7 4 12
"sample_217" 6 17 6
"sample_218" 3 14 25
"sample_219" 5 12 5
"sample_220" 6 19 10
"sample_221" 7 2 16
"sample_222" 1 8 26
"sample_223" 5 19 8
"sample_224" 10 4 14
"sample_225" 7 4 12
"sample_226" 6 8 15
"sample_227" 3 14 3
"sample_228" 1 10 22
"sample_229" 4 16 6
"sample_230" 8 16 6
"sample_231" 4 16 8
"sample_232" 10 3 12
"sample_233" 7 4 14
"sample_234" 2 16 7
"sample_235" 4 17 8
"sample_236" 7 5 17
"sample_237" 7 2 9
"sample_238" 7 3 13
"sample_239" 10 3 8
"sample_240" 9 2 13
"sample_241" 7 4 13
"sample_242" 5 5 16
"sample_243" 8 4 12
"sample_244" 2 11 25
"sample_245" 8 4 14
"sample_246" 3 9 26
"sample_247" 4 14 7
"sample_248" 2 7 23
"sample_249" 6 14 7
"sample_250" 3 13 25
"sample_251" 8 5 13
"sample_252" 9 5 16
"sample_253" 9 5 13
"sample_254" 5 18 5
"sample_255" 1 8 22
"sample_256" 2 11 20
"sample_257" 1 12 24
"sample_258" 8 3 9
"sample_259" 1 11 22
"sample_260" 7 4 15
"sample_261" 1 11 20
"sample_262" 6 5 16
"sample_263" 9 3 14
"sample_264" 8 14 7
"sample_265" 1 10 25
"sample_266" 1 11 23
"sample_267" 8 7 15
"sample_268" 9 7 13
"sample_269" 8 8 15
"sample_270" 9 2 11
"sample_271" 4 17 5
"sample_272" 5 15 4
"sample_273" 2 17 8
"sample_274" 6 5 22
"sample_275" 5 17 6
"sample_276" 3 16 9
"sample_277" 5 19 7
"sample_278" 9 5 12
"sample_279" 9 6 14
"sample_280" 9 2 14
"sample_281" 8 5 15
"sample_282" 7 7 11
"sample_283" 8 2 15
"sample_284" 9 6 14
"sample_285" 9 2 16
"sample_286" 9 7 15
"sample_287" 2 10 23
"sample_288" 2 11 22
"sample_289" 3 15 6
"sample_290" 10 5 12
"sample_291" 3 16 6
"sample_292" 6 16 5
"sample_293" 8 4 19
"sample_294" 4 17 4
"sample_295" 9 5 18
"sample_296" 8 2 17
"sample_297" 4 7 25
"sample_298" 6 16 10
"sample_299" 3 12 23
"sample_300" 6 6 15
"sample_301" 9 5 14
"sample_302" 6 7 16
"sample_303" 2 9 25
"sample_304" 9 15 4
"sample_305" 5 17 5
"sample_306" 2 12 25
"sample_307" 7 4 12
"sample_308" 9 5 18
"sample_309" 4 18 7
"sample_310" 9 4 13
"sample_311" 8 5 11
"sample_312" 10 5 18
"sample_313" 5 19 4
"sample_314" 2 9 21
"sample_315" 9 9 19
"sample_316" 6 16 8
"sample_317" 6 15 11
"sample_318" 7 2 10
"sample_319" 8 20 5
"sample_320" 7 2 15
"sample_321" 7 6 16
"sample_322" 4 18 3
"sample_323" 8 4 14
"sample_324" 8 5 15
"sample_325" 9 4 17
"sample_326" 9 4 17
"sample_327" 0 14 24
"sample_328" 8 7 11
"sample_329" 6 2 18
"sample_330" 7 2 13
"sample_331" 8 3 13
"sample_332" 5 17 8
"sample_333" 1 11 20
"sample_334" 9 3 18
"sample_335" 9 5 20
"sample_336" 6 2 12
"sample_337" 9 3 17
"sample_338" 2 13 21
"sample_339" 9 5 18
"sample_340" 0 9 26
"sample_341" 3 10 24
"sample_342" 7 15 6
"sample_343" 2 6 24
"sample_344" 8 3 16
"sample_345" 5 17 5
"sample_346" 8 4 12
"sample_347" 5 5 13
"sample_348" 5 13 6
"sample_349" 3 15 6
"sample_350" 9 5 19
"sample_351" 10 3 14
"sample_352" 10 7 17
"sample_353" 7 5 16
"sample_354" 7 14 5
"sample_355" 3 8 24
"sample_356" 2 10 24
"sample_357" 10 7 16
"sample_358" 9 3 13
"sample_359" 8 6 11
"sample_360" 4 14 10
"sample_361" 4 12 9
"sample_362" 8 14 6
"sample_363" 5 16 7
"sample_364" 3 11 24
"sample_365" 9 3 16
"sample_366" 10 5 10
"sample_367" 10 2 11
"sample_368" 4 16 6
"sample_369" 7 0 19
"sample_370" 9 6 13
"sample_371" 8 2 14
"sample_372" 4 15 9
"sample_373" 8 5 15
"sample_374" 8 2 14
"sample_375" 7 16 4
"sample_376" 5 16 6
"sample_377" 4 10 23
"sample_378" 7 17 4
"sample_379" 8 2 17
"sample_380" 4 10 24
"sample_381" 5 3 11
"sample_382" 6 12 2
"sample_383" 7 4 13
"sample_384" 3 9 25
"sample_385" 1 10 24
"sample_386" 2 10 23
"sample_387" 8 3 18
"sample_388" 9 2 21
"sample_389" 9 3 12
"sample_390" 3 10 24
"sample_391" 5 14 3
"sample_392" 1 11 26
"sample_393" 10 2 13
"sample_394" 8 4 11
"sample_395" 6 4 17
"sample_396" 9 3 18
"sample_397" 5 18 7
"sample_398" 2 7 27
"sample_399" 0 9 22
"sample_400" 3 9 25
"sample_401" 7 3 11
"sample_402" 9 1 18
"sample_403" 4 14 23
"sample_404" 9 2 13
"sample_405" 7 16 7
"sample_406" 6 7 13
"sample_407" 8 4 15
"sample_408" 1 9 25
"sample_409" 4 17 9
"sample_410" 2 8 29
"sample_411" 8 5 21
"sample_412" 8 1 14
"sample_413" 8 3 11
"sample_414" 9 4 17
"sample_415" 3 19 7
"sample_416" 9 8 18
"sample_417" 9 2 13
"sample_418" 7 3 13
"sample_419" 9 8 18
"sample_420" 8 4 18
"sample_421" 4 8 23
"sample_422" 5 14 4
"sample_423" 7 3 16
"sample_424" 10 2 19
"sample_425" 8 4 15
"sample_426" 1 7 28
"sample_427" 10 2 20
"sample_428" 10 2 12
"sample_429" 8 4 15
"sample_430" 9 3 12
"sample_431" 4 17 5
"sample_432" 9 5 19
"sample_433" 7 15 5
"sample_434" 8 5 16
"sample_435" 9 2 17
"sample_436" 6 2 16
"sample_437" 4 18 4
"sample_438" 6 14 4
"sample_439" 3 18 9
"sample_440" 7 8 17
"sample_441" 9 19 3
"sample_442" 1 15 27
"sample_443" 6 18 4
"sample_444" 10 6 16
"sample_445" 5 16 6
"sample_446" 8 6 13
"sample_447" 5 18 4
"sample_448" 5 18 6
"sample_449" 6 14 10
"sample_450" 3 15 6
"sample_451" 4 14 4
"sample_452" 0 15 26
"sample_453" 7 7 16
"sample_454" 5 17 6
"sample_455" 9 3 13
"sample_456" 10 3 16
"sample_457" 5 17 4
"sample_458" 1 11 27
"sample_459" 2 11 27
"sample_460" 8 5 18
"sample_461" 8 7 15
"sample_462" 3 17 6
"sample_463" 7 17 13
"sample_464" 1 9 20
"sample_465" 1 12 25
"sample_466" 4 11 23
"sample_467" 4 10 26
"sample_468" 0 11 26
"sample_469" 3 8 22
"sample_470" 1 14 24
"sample_471" 9 5 16
"sample_472" 8 1 12
"sample_473" 10 18 4
"sample_474" 6 3 15
"sample_475" 9 7 13
"sample_476" 2 7 24
"sample_477" 2 9 24
"sample_478" 8 3 15
"sample_479" 9 7 14
"sample_480" 2 9 22
"sample_481" 9 4 10
"sample_482" 3 15 24
"sample_483" 8 5 17
"sample_484" 1 10 23
"sample_485" 4 16 4
"sample_486" 4 15 5
"sample_487" 9 3 13
"sample_488" 8 1 18
"sample_489" 6 16 4
"sample_490" 2 18 6
"sample_491" 10 0 16
"sample_492" 8 4 17
"sample_493" 1 10 24
"sample_494" 8 6 17
"sample_495" 8 16 4
"sample_496" 4 16 2
"sample_497" 6 14 6
"sample_498" 9 5 15
"sample_499" 8 6 15
"sample_500" 8 3 15
"sample_501" 10 4 17
"sample_502" 9 4 17
"sample_503" 1 9 24
"sample_504" 4 18 2
"sample_505" 1 11 23
"sample_506" 3 13 8
"sample_507" 6 17 5
"sample_508" 2 9 27
"sample_509" 4 11 23
"sample_510" 4 14 25
"sample_511" 6 5 18
"sample_512" 7 17 5
"sample_513" 9 4 18
"sample_514" 2 9 24
"sample_515" 7 3 8
"sample_516" 7 5 8
"sample_517" 8 2 15
"sample_518" 3 9 21
"sample_519" 3 6 27
"sample_520" 9 4 16
"sample_521" 6 5 18
"sample_522" 2 11 22
"sample_523" 9 4 16
"sample_524" 1 11 24
"sample_525" 8 4 17
"sample_526" 7 6 15
"sample_527" 7 6 7
"sample_528" 8 0 13
"sample_529" 9 7 18
"sample_530" 7 4 21
"sample_531" 3 17 5
"sample_532" 2 15 8
"sample_533" 1 15 21
"sample_534" 9 5 15
"sample_535" 9 5 15
"sample_536" 5 17 7
"sample_537" 9 2 19
"sample_538" 1 10 23
"sample_539" 5 15 6
"sample_540" 8 4 17
"sample_541" 6 4 17
"sample_542" 8 4 15
"sample_543" 3 15 4
"sample_544" 2 8 22
"sample_545" 7 2 16
"sample_546" 2 17 7
"sample_547" 1 10 26
"sample_548" 9 1 18
"sample_549" 7 15 4
"sample_550" 7 6 13
"sample_551" 0 12 25
"sample_552" 8 4 15
"sample_553" 4 15 4
"sample_554" 7 2 17
"sample_555" 8 2 18
"sample_556" 2 11 25
"sample_557" 7 1 12
"sample_558" 6 8 15
"sample_559" 2 11 21
"sample_560" 5 19 6
"sample_561" 3 16 7
"sample_562" 1 18 6
"sample_563" 9 5 18
"sample_564" 4 16 7
"sample_565" 2 11 26
"sample_566" 2 10 23
"sample_567" 8 4 17
"sample_568" 7 16 8
"sample_569" 0 9 24
"sample_570" 3 11 21
"sample_571" 8 2 13
"sample_572" 4 10 21
"sample_573" 4 19 7
"sample_574" 2 9 23
"sample_575" 7 3 15
"sample_576" 0 10 25
"sample_577" 6 4 17
"sample_578" 9 6 13
"sample_579" 9 6 15
"sample_580" 5 13 7
"sample_581" 9 2 18
"sample_582" 3 12 24
"sample_583" 2 7 19
"sample_584" 3 14 5
"sample_585" 5 14 5
"sample_586" 4 17 1
"sample_587" 9 5 16
"sample_588" 9 1 15
"sample_589" 3 9 26
"sample_590" 9 4 13
"sample_591" 4 13 5
"sample_592" 9 5 12
"sample_593" 5 14 7
"sample_594" 9 4 20
"sample_595" 5 13 8
"sample_596" 9 1 10
"sample_597" 8 5 12
"sample_598" 4 19 8
"sample_599" 9 4 16
"sample_600" 4 17 3
"sample_601" 7 1 9
"sample_602" 7 19 4
"sample_603" 3 12 24
"sample_604" 7 5 18
"sample_605" 5 15 6
"sample_606" 5 19 4
"sample_607" 3 8 22
"sample_608" 8 3 13
"sample_609" 5 17 3
"sample_610" 7 15 6
"sample_611" 2 12 23
"sample_612" 5 18 10
"sample_613" 8 3 15
"sample_614" 9 1 14
"sample_615" 10 3 11
"sample_616" 2 9 25
"sample_617" 9 2 15
"sample_618" 4 15 2
"sample_619" 7 8 15
"sample_620" 7 5 14
"sample_621" 0 12 25
"sample_622" 7 5 20
"sample_623" 10 6 13
"sample_624" 7 6 16
"sample_625" 8 3 18
"sample_626" 3 18 10
"sample_627" 3 7 18
"sample_628" 2 7 26
"sample_629" 9 6 20
"sample_630" 5 7 23
"sample_631" 0 9 21
"sample_632" 9 6 15
"sample_633" 5 17 6
"sample_634" 7 3 12
"sample_635" 2 11 23
"sample_636" 2 10 25
"sample_637" 9 2 17
"sample_638" 10 6 12
"sample_639" 4 16 6
"sample_640" 2 16 11
"sample_641" 7 7 19
"sample_642" 8 4 19
"sample_643" 8 4 20
"sample_644" 3 12 27
"sample_645" 3 6 23
"sample_646" 6 16 5
"sample_647" 8 8 21
"sample_648" 1 13 23
"sample_649" 5 2 16
"sample_650" 9 4 17
"sample_651" 8 3 13
"sample_652" 6 8 19
"sample_653" 2 9 26
"sample_654" 2 12 28
"sample_655" 2 12 25
"sample_656" 5 16 9
"sample_657" 7 5 15
"sample_658" 7 6 18
"sample_659" 4 18 3
"sample_660" 9 3 14
"sample_661" 2 16 11
"sample_662" 3 11 23
"sample_663" 6 17 8
"sample_664" 9 5 9
"sample_665" 7 18 3
"sample_666" 9 6 17
"sample_667" 8 2 15
"sample_668" 9 4 14
"sample_669" 9 3 14
"sample_670" 6 17 4
"sample_671" 1 11 24
"sample_672" 9 5 16
"sample_673" 9 3 19
"sample_674" 4 16 2
"sample_675" 10 11 12
"sample_676" 6 2 15
"sample_677" 2 17 7
"sample_678" 5 8 26
"sample_679" 10 6 15
"sample_680" 7 16 10
"sample_681" 7 5 17
"sample_682" 8 3 15
"sample_683" 7 7 18
"sample_684" 5 19 6
"sample_685" 2 9 28
"sample_686" 7 5 14
"sample_687" 6 17 4
"sample_688" 7 6 13
"sample_689" 5 16 3
"sample_690" 8 2 21
"sample_691" 1 17 25
"sample_692" 10 3 19
"sample_693" 3 14 7
"sample_694" 2 10 23
"sample_695" 8 4 12
"sample_696" 6 17 4
"sample_697" 10 5 18
"sample_698" 1 10 26
"sample_699" 7 0 16
"sample_700" 9 6 17
"sample_701" 4 16 7
"sample_702" 3 8 23
"sample_703" 8 9 15
"sample_704" 7 2 19
"sample_705" 5 17 4
"sample_706" 9 4 14
"sample_707" 8 6 15
"sample_708" 10 1 14
"sample_709" 9 4 14
"sample_710" 8 3 18
"sample_711" 5 14 6
"sample_712" 7 13 6
"sample_713" 9 3 17
"sample_714" 7 15 7
"sample_715" 10 5 20
"sample_716" 7 5 21
"sample_717" 9 8 13
"sample_718" 7 3 15
"sample_719" 6 17 6
"sample_720" 8 8 9
"sample_721" 8 2 16
"sample_722" 1 8 24
"sample_723" 3 12 25
"sample_724" 5 15 7
"sample_725" 8 1 13
"sample_726" 7 4 18
"sample_727" 4 18 7
"sample_728" 8 3 13
"sample_729" 1 8 23
"sample_730" 7 7 18
"sample_731" 1 9 25
"sample_732" 1 11 20
"sample_733" 3 16 9
"sample_734" 8 2 19
"sample_735" 7 7 19
"sample_736" 1 10 27
"sample_737" 3 15 2
"sample_738" 10 5 9
"sample_739" 7 14 7
"sample_740" 0 8 28
"sample_741" 8 4 11
"sample_742" 8 8 18
"sample_743" 7 7 17
"sample_744" 4 18 9
"sample_745" 7 6 16
"sample_746" 8 3 15
"sample_747" 4 6 27
"sample_748" 8 1 13
"sample_749" 9 4 16
"sample_750" 5 14 5
"sample_751" 1 9 24
"sample_752" 8 4 19
"sample_753" 9 4 17
"sample_754" 3 16 5
"sample_755" 6 1 19
"sample_756" 3 13 21
"sample_757" 7 17 13
"sample_758" 7 4 12
"sample_759" 8 4 19
"sample_760" 7 4 20
"sample_761" 8 4 15
"sample_762" 4 16 6
"sample_763" 1 19 6
"sample_764" 9 5 13
"sample_765" 3 9 24
"sample_766" 7 13 5
"sample_767" 2 8 24
"sample_768" 3 11 25
"sample_769" 4 9 19
"sample_770" 5 16 2
"sample_771" 6 16 6
"sample_772" 2 8 25
"sample_773" 10 3 16
"sample_774" 5 15 6
"sample_775" 5 17 7
"sample_776" 0 7 26
"sample_777" 4 15 7
"sample_778" 3 9 24
"sample_779" 7 6 17
"sample_780" 8 3 21
"sample_781" 2 13 24
"sample_782" 9 4 16
"sample_783" 7 1 16
"sample_784" 4 18 8
"sample_785" 5 16 5
"sample_786" 8 4 15
"sample_787" 6 2 15
"sample_788" 3 15 6
"sample_789" 1 12 25
"sample_790" 8 3 14
"sample_791" 2 17 9
"sample_792" 9 5 17
"sample_793" 6 13 6
"sample_794" 1 10 25
"sample_795" 6 17 4
"sample_796" 5 15 7
"sample_797" 7 4 17
"sample_798" 5 7 17
"sample_799" 5 14 5
"sample_800" 4 17 7
"sample_801" 2 9 25
"sample_802" 5 19 4
"sample_803" 3 15 6
"sample_804" 3 8 23
"sample_805" 7 3 20
"sample_806" 5 14 4
"sample_807" 0 9 29
"sample_808" 9 7 16
"sample_809" 7 2 18
"sample_810" 6 4 16
"sample_811" 7 17 4
"sample_812" 9 1 16
"sample_813" 2 11 22
"sample_814" 6 6 18
"sample_815" 9 3 13
"sample_816" 7 2 14
"sample_817" 8 5 15
"sample_818" 7 5 18
"sample_819" 1 12 22
"sample_820" 5 0 16
"sample_821" 4 16 7
"sample_822" 5 15 4
"sample_823" 5 17 7
"sample_824" 6 5 16
"sample_825" 8 17 7
"sample_826" 7 4 17
"sample_827" 2 11 9
"sample_828" 8 13 5
"sample_829" 5 13 5
"sample_830" 2 10 22
"sample_831" 5 18 7
"sample_832" 9 4 18
"sample_833" 8 0 15
"sample_834" 7 3 12
"sample_835" 3 17 1
"sample_836" 10 5 13
"sample_837" 3 15 5
"sample_838" 8 3 16
"sample_839" 3 19 6
"sample_840" 9 4 17
"sample_841" 8 4 11
"sample_842" 8 4 10
"sample_843" 5 18 4
"sample_844" 5 7 15
"sample_845" 8 5 14
"sample_846" 4 18 6
"sample_847" 1 11 23
"sample_848" 6 4 14
"sample_849" 5 18 9
"sample_850" 9 3 12
"sample_851" 2 9 25
"sample_852" 5 16 4
"sample_853" 8 6 15
"sample_854" 8 3 13
"sample_855" 5 3 14
"sample_856" 8 6 20
"sample_857" 5 19 3
"sample_858" 2 14 21
"sample_859" 3 11 27
"sample_860" 0 10 26
"sample_861" 9 1 20
"sample_862" 9 2 12
"sample_863" 6 16 2
"sample_864" 6 16 5
"sample_865" 9 3 9
"sample_866" 9 3 15
"sample_867" 5 18 6
"sample_868" 10 4 12
"sample_869" 7 5 16
"sample_870" 8 7 13
"sample_871" 8 5 13
"sample_872" 5 17 6
"sample_873" 5 19 8
"sample_874" 5 17 6
"sample_875" 8 9 14
"sample_876" 4 17 5
"sample_877" 1 6 25
"sample_878" 9 0 18
"sample_879" 6 14 4
"sample_880" 10 3 15
"sample_881" 6 2 15
"sample_882" 8 5 17
"sample_883" 8 3 18
"sample_884" 8 5 19
"sample_885" 10 1 11
"sample_886" 6 4 16
"sample_887" 8 5 13
"sample_888" 8 6 19
"sample_889" 9 5 16
"sample_890" 2 17 5
"sample_891" 0 8 23
"sample_892" 9 5 14
"sample_893" 4 3 17
"sample_894" 7 1 17
"sample_895" 7 3 15
"sample_896" 8 5 16
"sample_897" 9 5 16
"sample_898" 6 14 10
"sample_899" 3 7 19
"sample_900" 2 6 20
"sample_901" 1 12 26
"sample_902" 8 16 3
"sample_903" 6 14 5
"sample_904" 9 1 16
"sample_905" 7 16 7
"sample_906" 7 3 17
"sample_907" 5 9 6
"sample_908" 8 5 14
"sample_909" 2 10 24
"sample_910" 7 4 18
"sample_911" 9 1 18
"sample_912" 3 16 10
"sample_913" 4 15 8
"sample_914" 6 15 2
"sample_915" 8 3 9
"sample_916" 0 11 25
"sample_917" 9 4 16
"sample_918" 5 15 9
"sample_919" 8 7 13
"sample_920" 8 4 14
"sample_921" 6 16 6
"sample_922" 8 3 18
"sample_923" 2 8 28
"sample_924" 8 4 18
"sample_925" 7 3 14
"sample_926" 9 4 20
"sample_927" 0 12 19
"sample_928" 6 18 1
"sample_929" 5 19 6
"sample_930" 8 6 11
"sample_931" 9 4 15
"sample_932" 8 12 6
"sample_933" 8 15 6
"sample_934" 9 3 15
"sample_935" 6 17 6
"sample_936" 7 6 10
"sample_937" 2 15 8
"sample_938" 4 14 23
"sample_939" 6 13 6
"sample_940" 8 5 14
"sample_941" 8 5 14
"sample_942" 7 16 5
"sample_943" 1 17 5
"sample_944" 6 14 7
"sample_945" 5 14 9
"sample_946" 6 3 17
"sample_947" 3 14 3
"sample_948" 4 15 7
"sample_949" 6 13 5
"sample_950" 3 8 26
"sample_951" 8 16 4
"sample_952" 7 3 14
"sample_953" 7 6 12
"sample_954" 10 2 15
"sample_955" 6 5 17
"sample_956" 0 13 22
"sample_957" 6 6 17
"sample_958" 3 12 26
"sample_959" 2 14 25
"sample_960" 7 5 20
"sample_961" 9 4 13
"sample_962" 9 2 17
"sample_963" 7 5 17
"sample_964" 9 5 10
"sample_965" 9 4 10
"sample_966" 5 16 5
"sample_967" 3 16 6
"sample_968" 10 5 16
"sample_969" 6 14 5
"sample_970" 4 13 6
"sample_971" 1 12 26
"sample_972" 9 6 16
"sample_973" 8 6 10
"sample_974" 5 15 5
"sample_975" 3 17 8
"sample_976" 7 5 10
"sample_977" 10 4 15
"sample_978" 6 15 9
"sample_979" 6 18 4
"sample_980" 2 9 23
"sample_981" 8 1 14
"sample_982" 6 7 21
"sample_983" 2 13 26
"sample_984" 1 15 3
"sample_985" 8 7 21
"sample_986" 3 10 25
"sample_987" 5 18 6
"sample_988" 9 5 15
"sample_989" 6 17 4
"sample_990" 5 14 8
"sample_991" 2 11 19
"sample_992" 7 4 12
"sample_993" 6 17 9
"sample_994" 7 4 14
"sample_995" 7 6 18
"sample_996" 9 1 14
"sample_997" 10 2 15
"sample_998" 5 3 15
"sample_999" 8 2 17
"sample_1000" 5 18 7
